,_has_fetched,city,country,name,postal_code,state,street,telephone,type,url,web
1732,True,Boone,USA,Booneshine Brewing Company,28607,North Carolina,246 Wilson Drive,(828) 386-4066,Brew Pub,/brewers/booneshine/27395/,https://www.facebook.com/BooneshineBrewing
1733,True,Boonville,USA,Boonville Cider House,95415,California,P.O. Box 564,(707) 901-7756,Cidery,/brewers/boonville-cider-house/19738/,https://www.facebook.com/boonvillecider
1734,True,Repton,England,Boot Beer,DE65 6FT,Derbyshire,12 Boot Hill,(1283) 346047,Brew Pub/Brewery,/brewers/boot-beer/23060/,http://www.thebootatrepton.co.uk/micro-brewery/
1735,True,Preston,England,Booths Supermarket,PR2 5BX,Lancashire,Longridge Road,,Commissioner,/brewers/booths-supermarket/21403/,http://www.booths.co.uk/
1736,True,Boothbay,USA,Boothbay Craft Brewery,04537,Maine,301 Adams Pond Rd,(207) 633 3411,Microbrewery,/brewers/boothbay-craft-brewery/11321/,https://www.facebook.com/pages/Boothbay-Craft-Brewery/104727574679
1737,True,Manchester,England,Bootleg,M21 9HS,Greater Manchester,"Horse & Jockey, 9 Chorlton Green",0161 860 7794,Brew Pub,/brewers/bootleg/12366/,https://www.facebook.com/groups/horseandjockey
1738,True,Taylor,USA,Bootleg Brewers,68879,Nebraska,45145 829th Rd.,(308) 942-3400,Microbrewery,/brewers/bootleg-brewers/27379/,https://www.facebook.com/bootlegbrewers
1739,True,East Moline,USA,Bootleg Hill Honey Meads,61244,Illinois,P.O. Box 342,(309) 269-2623,Meadery,/brewers/bootleg-hill-honey-meads/22087/,https://www.facebook.com/bootleghillmeads
1740,True,High Wycombe,England,Bootlegger Brew Co,HP136NQ,Buckinghamshire,3 Amersham Hill,(1494) 525457,Brew Pub,/brewers/bootlegger-brew-co/26616/,http://www.thebootleggerpub.co.uk/brewco/
1741,True,Fullerton,USA,Bootleggers Brewery,92832,California,130 S Highland Ave,(714) 871-2337,Microbrewery,/brewers/bootleggers-brewery/9483/,https://www.facebook.com/pages/Bootleggers-Brewery/124627590919125
1742,True,Plattsburgh,USA,Bootleggers Brewpub,12901,New York,411 Cornelia St.,,Brew Pub,/brewers/bootleggers-brewpub/3474/,http://www.pubcrawler.com/Template/ReviewWC.cfm/flat/BREWERID=103304
1743,True,Aurora,USA,Bootleggers Restaurant and Brewery,65605,Missouri,101 S Madison Ave,(417) 678-1368,Brew Pub,/brewers/bootleggers-brewery/6807/,https://www.facebook.com/pages/Bootleggers-Restaurant-and-Brewery/130068896268
1744,True,Watertown,USA,Boots Brewing Company,13601,New York,89 Public Square,(914) 906-9057,Microbrewery,/brewers/boots/29915/,https://www.facebook.com/bootsbrewingcompany
1745,True,Niwot,USA,Bootstrap Brewing,80503,Colorado,6778 N 79th St,(303) 652-4186,Microbrewery,/brewers/bootstrap-brewing/14747/,https://www.facebook.com/pages/Bootstrap-Brewing-Company/164954296883039?fref=ts
1746,True,Vista,USA,Booze Brothers Brewing Co,92081,California,2545 Progress Street Suite D,(760) 295-0217,Microbrewery,/brewers/booze-brothers/18011/,https://www.facebook.com/boozebrothersbrewery
1747,True,Sherbrooke,Canada,Boquébière,J1H 5B7,Quebec,"50, rue Wellington Nord",(819) 542-1311,Brew Pub/Brewery,/brewers/boquebiere/10156/,https://www.facebook.com/boquebiere?ref=stream&__req=4
1748,True,Essen-Borbeck,Germany,Borbecker Dampfbierbrauerei,45355,North Rhine-Westphalia,Heinrich-Brauns-Str. 9,(201) 630070,Client Brewer,/brewers/borbecker-dampfbierbrauerei/4441/,http://www.dampfe.de/
1749,True,Salem,USA,Border Brewery,03079,New Hampshire,224 N Bwy,(603) 216-9134,Microbrewery,/brewers/border-brewery/17535/,https://www.facebook.com/pages/Border-Brew-Supply/233563789992203
1750,True,Kansas City,USA,Border Brewing Company,64108,Missouri,406 E 18 Street Suite B,,Microbrewery,/brewers/border/22062/,https://www.facebook.com/borderbrewco
1751,True,Ross-on-Wye,England,Border Orchards,,Herefordshire,,,Cidery,/brewers/border-orchards/11966/,http://myweb.tiscali.co.uk/bob.wallis/ciderperrylist.html
1752,True,Momence,USA,Border Town Pub Brewery & Eatery,60954,Illinois,22-28 North Dixie Highway,(815) 472-4340,Brew Pub/Brewery,/brewers/border-town-pub-brewery-and-eatery/21905/,https://www.facebook.com/KankakeeBrewery
1753,True,San Diego,USA,Border X Brewing,92154,California,"8684 Avenida de la Fuente, Ste 8",(619) 787-6176,Microbrewery,/brewers/border-x-brewing/18329/,https://www.facebook.com/pages/Border-X-Brewing/153011721527877
1754,True,Tucson,USA,Borderlands Brewing Company,85701,Arizona,119 E Toole Ave,(520) 261-8773,Microbrewery,/brewers/borderlands/13463/,https://www.facebook.com/borderlandsbrewing
1755,True,Moncton,Canada,Bore City Brewing,,New Brunswick,Main st,,Microbrewery,/brewers/bore-city-brewing/26240/,https://www.facebook.com/BoreCityBrewing/
1756,True,Anchorage,USA,Borealis Brewery,99501,Alaska,349 E. Ship Creek Ave,,Microbrewery,/brewers/borealis-brewery/276/,http://www.pubcrawler.com/Template/ReviewWC.cfm/flat/BrewerID=1793
1757,True,Knife River,USA,Borealis Fermentery,55609,Minnesota,P.O. Box 130,(218) 834-4856,Microbrewery,/brewers/borealis-fermentery/14189/,https://www.facebook.com/borealisbrew
1758,True,Bremen-Borgfeld,Germany,Borgfelder Landhaus,28357,Bremen,Warfer Landstrasse 73,(49) 421 27 77 147,Brew Pub,/brewers/borgfelder-landhaus/8728/,http://www.borgfelder-landhaus.de/
1759,True,Altamonte Springs,USA,Boricua Beer Inc.,32701,Florida,283 Cranes Roost Boulevard,(321) 263-8833,Client Brewer,/brewers/boricua-beer-inc/26474/,https://www.facebook.com/BoricuaBeer/
1760,True,Boring,USA,Boring Brewing Company,97009,Oregon,13503 SE Richey Road,(503) 793-1382,Microbrewery,/brewers/boring/16167/,https://www.facebook.com/boringbrewing
1761,True,Alfta,Sweden,Borns Bryggeri,SE-822 30,,Bornvägen 47,(271)  10490,Microbrewery,/brewers/borns-bryggeri/3695/,http://www.borns.se/
1762,True,Lancaster,England,Borough (Lancaster),LA1 1SL,Lancashire,Brook Street,7912 679761,Microbrewery,/brewers/borough-lancaster/18672/,https://www.facebook.com/TheBoroughLancaster
1763,True,Crewe,England,Borough Arms,CW1 2BG,Cheshire,"The Borough Arms, 33 Earle Street",(1270) 254999,Brew Pub,/brewers/borough-arms/4831/,http://www.borougharmscrewe.co.uk/
1764,True,Aberdeenshire,Scotland,Borve,AB54 4SGFounded 1983Closed 2001,,"Borve Brew House, Ruthven",01466 760343,Microbrewery,/brewers/borve/4712/,http://www.quaffale.org.uk/php/brewery/536
1765,True,Pontiac,USA,Bos Brewery and Bistro,48342,Michigan,51 N. Saginaw,(248) 338-6200,Brew Pub,/brewers/bos-brewery/1688/,http://www.bosbrewery.com
1766,True,Madison,USA,Bos Meadery,53703,Wisconsin,"849 East Washington, Suite 116",,Meadery,/brewers/bos-meadery/14665/,https://www.facebook.com/BosMeadery
1767,True,Mundelien,USA,Bosackis Home Brew,60060,Illinois,610 E. Hawley Street,(224) 778-5400,Brew Pub/Brewery,/brewers/bosackis-home-brew/26440/,https://www.facebook.com/bosackishomebrew
1768,True,Lenningen-Unterlenningen,Germany,Bosch Fruchtsäfte,73252,Baden-Württemberg,,,Cidery,/brewers/bosch-fruchtsafte/29215/,http://www.bosch-fruchtsaefte.de
1769,True,Cliviger,England,Bosco Brewing (prev Fighting Cocks),BB10 4RQ,Lancashire,"308 Red Lees Road,",(12) 82 428255,Brew Pub,/brewers/bosco-brewing-prev-fighting-cocks/24431/,http://www.lancashiretelegraph.co.uk/leisure/features_lancashiretelegraph/13710988.Mark_Briggs_discovers_a_master_craftsman_in_C
1770,True,Memphis,USA,Boscos Brewing Company (Roma Pomodori),38104,Tennessee,2120 Madison Ave.,(901) 432-2222,Brew Pub/Brewery,/brewers/boscos-roma-pomodori/625/,https://www.facebook.com/pages/Boscos-Restaurant-Brewing-Co/260143625128
1771,True,Minden,Canada,Boshkung Brewing Co.,K0M 1J2,Ontario,9201 Hwy 118,(705) 489-4449,Brew Pub/Brewery,/brewers/boshkung/20130/,https://www.facebook.com/boshkungbrewing
1772,True,Albuquerque,USA,Bosque Brewing (NM),87113,New Mexico,8900 San Mateo Blvd NE,(505) 750-7596,Brew Pub,/brewers/bosque-brewing-nm/15867/,https://www.facebook.com/bosquebrewing
1773,True,Waco,USA,Bosque Brewing (TX),76701,Texas,300 South Sixth Street,,Microbrewery,/brewers/bosque-brewing-tx/2311/,http://www.pubcrawler.com/Template/ReviewWc.cfm/flat/BrewerID=1647
1774,True,Boston,USA,Boston Beer Company,02116,Massachusetts,30 Germania St.,(617) 482-1332,Commercial Brewery,/brewers/boston-beer-company/32/,https://www.facebook.com/SamuelAdams
1775,True,Woking,England,Boston Experience,GU21 1FL,Surrey,1-3 Church Path,01483-598586,Microbrewery,/brewers/boston-experience/996/,http://www.boston-experience.com/
1776,True,Evesham,England,Boston Farm Produce Cider,WR11 2RD,Worcestershire,Boston Lane,01386 860017,Cidery,/brewers/boston-farm-produce-cider/8958/,http://www.ukcider.co.uk/wiki/index.php/Producers_in_Worcestershire#Boston_Farm_Produce
1777,True,Horbury,England,Bosuns Brewing Co,WF4 5NW,West Yorkshire,"Unit 20 Wakefield Commercial Park, Bridge Road,",07513 112188,Microbrewery,/brewers/bosuns/16992/,https://www.facebook.com/Bosuns Brewing Company
1778,True,Montréal,Canada,Boswell Brasserie Artisanale,H2H 1L2,Quebec,"2407, Avenue du Mont-Royal E",(438) 386-4661,Brew Pub,/brewers/boswell-brasserie-artisanale/24953/,https://www.facebook.com/brasserieboswell
1779,True,Southampton,England,Botley,SO30 2GB,Hampshire,"Botley Mills, Botley.",01794 518918,Microbrewery,/brewers/botley/11670/,https://www.facebook.com/pages/Botley-Brewery/141348512553637
1780,True,Belper,England,Bottle Brook,DE56 0LU,Derbyshire,"10 Church Street, Kilburn",(797) 1189915,Microbrewery,/brewers/bottle-brook/6704/,http://www.beermad.org.uk/brewery/3925
1781,True,Reading,England,Bottle Jack Press,,Berkshire,,,Cidery,/brewers/bottle-jack-press/14551/,https://www.facebook.com/BottleJackPress
1782,True,Market Harborough,England,Bottle Kicking Cider,LE16 8UA,Leicestershire,"Cross Farm, 4 The Cross, Hallaton",07850 150 396,Cidery,/brewers/bottle-kicking-cider/12796/,https://www.facebook.com/TheBKCC
1783,True,Anaheim,USA,Bottle Logic Brewing,92806,California,1072 N Armando St,(714) 660-2537,Microbrewery,/brewers/bottle-logic-brewing/18747/,https://www.facebook.com/BottleLogicBrewing
1784,True,Seward,USA,Bottle Rocket Brewing Company,68434,Nebraska,230 S. 5th St.,(402) 641-4314 or 304-5673,Microbrewery,/brewers/bottle-rocket/24344/,https://www.facebook.com/bottlerocketbrewing
1785,True,Cleveland Heights,USA,BottleHouse Brewing & Meadery,44118,Ohio,2050 Lee Road,(216) 214-2120,Brew Pub,/brewers/bottlehouse-brewing-and-meadery/18137/,https://www.facebook.com/TheBottleHouseBrewery
1786,True,Tryon,USA,BottleTree Beer Company,28782,North Carolina,10 North Trade Street Suite D,(864) 266-0133,Client Brewer,/brewers/bottletree-beer-company/11804/,https://www.facebook.com/pages/BottleTree/188595343047
1787,True,Bayfield,USA,Bottom Shelf Brewery,81122,Colorado,118 E Mill Street,(970) 884-2442,Brew Pub,/brewers/bottom-shelf-brewery/30021/,https://www.facebook.com/BSBBrewery
1788,True,Geneva,USA,Bottomless Brewing Company,14456,New York,3543 East Lake Road,(315) 325 4380,Microbrewery,/brewers/bottomless/31012/,http://www.bottomlessbrewing.com/
1789,True,Bottrop,Germany,Bottroper Brauhaus Bottich,46236,North Rhine-Westphalia,Gladbecker Strasse 78,(2041) 77 44 6 - 0,Brew Pub,/brewers/bottroper-brauhaus-bottich/6320/,http://www.brauhaus-bottrop.de/
1790,True,West Barsham,England,Boudicca Brewing,NR21 9NP,Norfolk,"The Old Store, Walsingham Road",07684 321732,Commercial Brewery,/brewers/boudicca-brewing/24982/,https://www.facebook.com/BoudiccaBrewingCo
1791,True,Boulder,USA,Boulder Beer Company,80301,Colorado,2880 Wilderness Pl,(303) 444-8448,Brew Pub/Brewery,/brewers/boulder-beer-company/375/,https://www.facebook.com/pages/Boulder-Beer-Co/37004902662
1792,True,Boulder Creek,USA,Boulder Creek Brewing Co.,95006,California,13040 Highway 9,(831) 338-7882,Brew Pub,/brewers/boulder-creek/3230/,https://www.facebook.com/bouldercreekbrewery
1793,True,Boulder City,USA,Boulder Dam Brewing Co.,89005,Nevada,453 Nevada Hwy,(702) 243-2739,Brew Pub,/brewers/boulder-dam/8862/,https://www.facebook.com/boulder.brewing
1794,True,Boulder,USA,Boulder Draft House,80302,Colorado,2027 13th Street,(303) 440-5858,Brew Pub,/brewers/boulder-draft-house/10381/,https://www.facebook.com/group.php?gid=44201605090
1795,True,Kansas City,USA,Boulevard Brewing Company (Duvel-Moortgat),64108,Missouri,2501 Southwest Boulevard,(816) 474-7095,Commercial Brewery,/brewers/boulevard-duvel-moortgat/22/,https://www.facebook.com/Boulevard
1796,True,Bellingham,USA,Boundary Bay Brewery,98227,Washington,1107 Railroad Avenue,(360) 647-5593,Brew Pub/Brewery,/brewers/boundary-bay-brewery/2494/,https://www.facebook.com/bbaybrewery
1797,True,Kelowna,Canada,Boundary Brewing,,British Columbia,2 -455 Neave Cr,(778) 828-3456,Microbrewery,/brewers/boundary-brewing/30010/,https://www.facebook.com/BoundaryBrewingCo
1798,True,North Shields,England,Bourbon Cider Company,,Tyne & Wear,,01912150049,Cidery,/brewers/bourbon-cider-company/15294/,http://www.BourbonCider.com
1799,True,Bourne,England,Bourne Brewery,PE10 1LQ,Lincolnshire,Roman Bank,,Microbrewery,/brewers/bourne-brewery/31551/,http://
1800,True,Poole,England,Bournemouth,BH17 0UG,Dorset,"Unit12, 4/6 Abingdon Road, Nuffield Industrial estate,",,Microbrewery,/brewers/bournemouth/19079/,https://www.facebook.com/BournemouthBrewery
1801,True,Miami,USA,Bousa Brewing Company,33138,Florida,7235 NE 4TH AVE,,Microbrewery,/brewers/bousa/31427/,https://www.facebook.com/BousaBrewing
1802,True,Faversham,England,Boutilliers,ME13 8XF,Kent,"The Hop Shed, Macknade Fine Foods",(776) 6400702,Microbrewery,/brewers/boutilliers/27372/,https://www.facebook.com/m.boutilliers
1803,True,Albuquerque,USA,Bow & Arrow Brewing Company,87102,New Mexico,608 McKnight Ave NW,(505) 247-9800,Microbrewery,/brewers/bow-and-arrow/29600/,https://www.facebook.com/bowandarrowbrewingco
1804,True,Casselberry,USA,Bowigens Beer Company,32707,Florida,1014 SR 436,,Brew Pub/Brewery,/brewers/bowigens-beer-company/22230/,https://www.facebook.com/bowigensbeercompany
1805,True,Clitheroe,England,Bowland,BB7 1EB,Lancashire,"Holmes Mill, Greenacre Steet",01200 428825,Brew Pub/Brewery,/brewers/bowland/4642/,http://www.bowlandbrewery.com/
1806,True,Williston Park,USA,Bowlers Beer Company,11596,New York,99 Hillside Avenue #995,(516) 443-7035,Client Brewer,/brewers/bowlers-beer-company/14955/,http://www.strikebeer.com/
1807,True,Bowling Green,USA,Bowling Green Beer Works,43402,Ohio,"322 N Grove Street, Ste C",(512) 299-2101,Microbrewery,/brewers/bowling-green-beer-works/25584/,https://www.facebook.com/BGbeerworks
1808,True,Bowling Green,USA,Bowling Green Brewing Company,42101,Kentucky,575B Veterans Memorial Lane,,Microbrewery,/brewers/bowling-green/8851/,http://www.bgbrewco.com/
1809,True,Southampton,England,Bowman,SO32 3QY,Hampshire,"Bowman Ales, Wallops Wood, Droxford",0148 9878110,Microbrewery,/brewers/bowman/8352/,http://www.bowman-ales.com
1810,True,Kendal,England,Bowness Bay,LA9 4BD,Cumbria,"Grosvenor House, 60 Stramongate",07885 171210,Microbrewery,/brewers/bowness-bay/15611/,https://www.facebook.com/BownessBayBrewing
1811,True,Great Falls,USA,Bowser Brewing Company,59405,Montana,1826 10th Ave South,(406) 315-1340,Microbrewery,/brewers/bowser/13346/,https://www.facebook.com/bowserbrewingco
1812,True,Bochum,Germany,Box Bräu,44795,North Rhine-Westphalia,Rombacher Hütte 16a,(234) 687 059 25,Microbrewery,/brewers/box-brau/11120/,http://lamo.jimdo.com/
1813,True,Newcastle Upon Tyne,England,Box Social Brewing,NE15 9RU,Tyne & Wear,Walbottle Road,07803 791761,Microbrewery,/brewers/box-social-brewing/23947/,https://www.facebook.com/boxsocialbrewing
1814,True,Trowbridge,England,Box Steam,BA14 6RU,Wiltshire,"The Midlands, Holt",01225 782700,Commercial Brewery,/brewers/box-steam/5001/,https://www.facebook.com/pages/Box-Steam-Brewery/386254896674
1815,True,London,England,Boxcar,E9 6JU,Greater London,Arch 221 Ponsford Street,,Microbrewery,/brewers/boxcar/30484/,https://www.facebook.com/BoxcarBrwCo
1816,True,West Chester,USA,Boxcar Brewing Company,19382,Pennsylvania,306 Westtown Road Suite C,(484) 887-0538,Microbrewery,/brewers/boxcar/11577/,https://www.facebook.com/BoxcarBeer
1817,True,Buenos Aires,Argentina,Boxer Cerveza Artesanal,,,,,Microbrewery,/brewers/boxer-cerveza-artesanal/6450/,http://www.cervezaboxer.8m.com
1818,True,Albuquerque,USA,Boxing Bear Brewing Company,87114,New Mexico,10200 Corrales Road NW,(505) 897-2327,Microbrewery,/brewers/boxing-bear/20687/,https://www.facebook.com/pages/Boxing-Bear-Brewing-Co/1390238394583090
1819,True,Shelburne,Canada,Boxing Rock Brewing Company,B0T1W0,Nova Scotia,78 Ohio Road,(902) 494-9233,Microbrewery,/brewers/boxing-rock/16916/,https://www.facebook.com/boxingrock
1820,True,Cambridge,USA,Boyden Valley Winery,05444,Vermont,64 VT Route 104,(802) 644-8151,Cidery,/brewers/boyden-valley-winery/17555/,https://www.facebook.com/BoydenValleyWinery
1821,True,North Wales,USA,Boyds Cardinal Hollow Winery,19454,Pennsylvania,111 Main Street,(215) 661-9580,Meadery,/brewers/boyds-cardinal-hollow-winery/9527/,https://www.facebook.com/BoydsCardinalWinery
1822,True,Raleigh,USA,Boylan Bridge Brewpub,27603,North Carolina,201 S Boylan Ave,(919) 803-8927,Brew Pub,/brewers/boylan-bridge-brewpub/10343/,https://www.facebook.com/BoylanBridgePub
1823,True,Boyne City,USA,Boyne River Brewing Company,49712,Michigan,419 E. Main Street,(231) 582-GONE,Microbrewery,/brewers/boyne-river/322/,http://www.pubcrawler.com/Template/ReviewWC.cfm/flat/BrewerID=1674
1824,True,Bozeman,USA,Bozeman Brewing Company,59715,Montana,504 N. Broadway Ave.,(406) 585-9142,Microbrewery,/brewers/bozeman/3027/,https://www.facebook.com/bozemanbrewing
1825,True,Watermillock,England,Brack n Brew,CA11 0LP,Cumbria,"Brackenrigg Inn,",(1768) 486206,Brew Pub,/brewers/brack-n-brew/26103/,http://www.brackenrigginn.co.uk
1826,True,Saint Marys,USA,Brackish Beer Company,31558,Georgia,907 Dilworth Street,(912) 2006422,Microbrewery,/brewers/brackish-beer-company/30896/,https://www.facebook.com/BrackishBeerCompany
1827,True,"High Bradfield,",England,Bradfield,S6 6LG Founded April 2005,South Yorkshire,"Watt House Farm,",0114 285 1118,Microbrewery,/brewers/bradfield/5980/,http://www.bradfieldbrewery.com/index.php
1828,True,Bradford,England,Bradford,BD13SH,West Yorkshire,11 Rawson Road,(12) 74397053,Microbrewery,/brewers/bradford/22968/,https://www.facebook.com/BradfordBrewery
1829,True,North Hewish,England,Bradleys Juice,BS24 6UA,Somerset,"Box Bush Farm, Box Bush Lane",01934 822 356,Cidery,/brewers/bradleys-juice/27383/,https://www.facebook.com/BradleysJuice/
1830,True,New Richmond,USA,Bradys Brewhouse,54017,Wisconsin,230 S Knowles Ave,(715) 246-9960,Brew Pub,/brewers/bradys-brewhouse/11829/,https://www.facebook.com/bradysbrewhouse
1831,True,"Denbigh, Clwyd",Wales,Bragdyr Bryn Cyf,"LL16 5TA. Started 2005, closed 2007.",,"Unit 2 , Vale Park, Colomendy Industrial Estate,",(1745) 812266,Microbrewery,/brewers/bragdyr-bryn-cyf/6267/,http://www.bragdyrbryn.co.uk/
1832,True,Dallas,USA,BrainDead Brewing,75226,Texas,2625 Main Street,(469) 286-9005,Brew Pub,/brewers/braindead-brewing/23201/,https://www.facebook.com/braindeadbrew
1833,True,Pillager,USA,Brainerd Lakes Beer Company,56473,Minnesota,13788 13th Ave SW,(218) 820-9775,Client Brewer,/brewers/brainerd-lakes-beer-company/12117/,https://www.facebook.com/brainerdlakesbeer
1834,True,Cinderford,England,Brains Cider,GL14 3LQ,Gloucestershire,"The Orchards, Edge Hills, Littledean",(1594) 822416,Cidery,/brewers/brains-cider/5913/,http://homepage.ntlworld.com/scrumpy/cider/makers.htm#brains
1835,True,Laval,Canada,Braise et Houblon,H7T 1R3,Quebec,2159 blvd Cure- Labelle,(450) 687-7627,Client Brewer,/brewers/braise-et-houblon/12724/,http://braiseethoublon.com/
1836,True,Ouagadougou,Burkina Faso,Brakina (BGI),,,B.P.519,50 35 61 35,Commercial Brewery,/brewers/brakina-bgi/5219/,http://www.yellowpagesofafrica.com/societe_brakina_384000.htm
1837,True,Witney,England,Brakspear (Marstons),OX28 4DP,Oxfordshire,"Wychwood Brewery, Eagle Maltings, The Crofts",(199) 0890 800,Commercial Brewery,/brewers/brakspear-marstons/729/,http://www.brakspear-beers.co.uk/
1838,True,Kinshasa,Dem Rep of Congo,Bralima (Heineken),,,Avenue du Drapeau 76,8841227,Commercial Brewery,/brewers/bralima-heineken/6614/,https://en.wikipedia.org/wiki/Bralima
1839,True,Bamako,Mali,Bramali (BGI),,,,,Commercial Brewery,/brewers/bramali-bgi/2596/,http://www.groupe-castel.com
1840,True,Richmond,USA,Braman Brewing Company,77406,Texas,3333 FM 359,(281) 762-1375,Microbrewery,/brewers/braman/18662/,https://www.facebook.com/runningwalkerbrewery
1841,True,Lower Somercotes,England,Bramley Street Cider,DE55 4NR,Derbyshire,Bramley St.,(79) 60127977,Cidery,/brewers/bramley-street-cider/28418/,http://https://www.facebook.com/Bramley-Street-Cider-731361563557206/
1842,True,Chesterfield,England,Brampton,S40 2AR,Derbyshire,"Brampton Brewery, Chatsworth Business Park, Chatsworth Road",01246 221680,Microbrewery,/brewers/brampton/9075/,https://www.facebook.com/pages/Brampton-Brewery/48734898191
1843,True,Faistenau,Austria,Bramsau Bräu,5324,,Anger 2,+43 (0) 6228 2566,Brew Pub,/brewers/bramsau-brau/5098/,http://www.bramsau-braeu.com/
1844,True,Kings Lynn,England,Brancaster,PE31 8BJ,Norfolk,"Jolly Sailors, Main Road, Brancaster Staithe",01485 210314,Brew Pub,/brewers/brancaster/4428/,http://www.brancasterbrewery.co.uk/
1845,True,Fort Collins,USA,"Branch Out Cider, LLC",80521,Colorado,216 Wood Street,(970) 658-5500,Cidery,/brewers/branch-out-cider-llc/18725/,https://www.facebook.com/pages/Branch-Out-Cider/329465257100441
1846,True,San Antonio,USA,Branchline Brewing,78247,Texas,3633 Metro Parkway,(361) 290-8817,Microbrewery,/brewers/branchline-brewing/15996/,https://www.facebook.com/BranchlineBrewing
1847,True,Wijlre,Netherlands,Brand Bierbrouwerij (Heineken),6321 AG,,Brouwerijstraat 2,043-450-82-82,Commercial Brewery,/brewers/brand-bierbrouwerij-heineken/1010/,http://www.brand.nl/
1848,True,Coleford,England,Branded Drinks / Integrated Bottling Solutions,GL16 8PN,Gloucestershire,"Unit 1, The Business Park, Tufthorn Avenue",01594 810261,Client Brewer,/brewers/branded-drinks--integrated-bottling-solutions/4232/,http://www.brandeddrinks.co.uk/
1849,True,Reno,USA,Branded Hearts Distillery,89523,Nevada,121 Woodland Ave Ste. 160,(775) 336-8195,Microbrewery,/brewers/branded-hearts-distillery/29254/,https://www.facebook.com/BrandedHeartsDistillery
1850,True,Brandon,England,Brandon,IP27 0AU,Suffolk,78 High Street,01842 878496,Microbrewery,/brewers/brandon/6148/,http://www.brandonbrewery.com/
1851,True,Holborn,England,Brands Reunited,WC2B 5PZ,Greater London,60 Parker Street,,Commissioner,/brewers/brands-reunited/30163/,http://homeales.com/
1852,True,Pershore,England,Brandy Cask,WR10 1AJ,Worcestershire,25 Bridge Street,01386 552602,Brew Pub/Brewery,/brewers/brandy-cask/3810/,http://www.quaffale.org.uk/php/brewery/540
1853,True,Wallersdorf,Germany,Brandys Braugarage,94522,Bavaria,Deggendorferstrasse 12,,Microbrewery,/brewers/brandys-braugarage/22992/,http://www.brandys-braugarage.de/
1854,True,Greenville,USA,Brandywine Brewing Company,19807,Delaware,3801 Kennett Pike,,Brew Pub,/brewers/brandywine/2746/,http://www.pubcrawler.com/Template/ReviewWC.cfm/flat/BrewerID=311
1855,True,Unterperfuß bei Innsbruck,Austria,Branger Bräu,6175,,Unterperfuss 32,+43 (0) 5232/2209,Brew Pub,/brewers/branger-brau/5099/,http://www.brangeralm.at
1856,True,Beaverton,USA,Brannons Pub and Brewery,97005,Oregon,3800 SW Cedar Hills Blvd,(503) 5678003,Brew Pub,/brewers/brannons-brewery/21547/,https://www.facebook.com/brannons.brewery
1857,True,Seaton,England,Branscombe Vale,EX12 3DP,Devon,"Great Seaside Farm, Branscombe",01297 680511,Microbrewery,/brewers/branscombe-vale/2228/,http://www.branscombevalebrewery.co.uk/
1858,True,Lasalle,Canada,Brasal-Brasserie Allemande,H8N 2X2,Quebec,8477 rue Cordner,,Microbrewery,/brewers/brasal-brasserie-allemande/1156/,http://www.ratebeer.com/ShowBrewer.asp?BrewerID=1156
1859,True,Houston,USA,Brash Brewing Company,77022,Texas,512 Crosstimbers,,Microbrewery,/brewers/brash/14871/,https://www.facebook.com/pages/Brash-brewing-company/229796680431006
1860,True,Williamsburg,USA,Brass Cannon Brewing,23188,Virginia,5476 Mooretown Rd.,(757) 566-0001,Microbrewery,/brewers/brass-cannon-brewing/14336/,https://www.facebook.com/BrassCannonBrewing
1861,True,Malton,England,Brass Castle,YO17 7AB,North Yorkshire,10 Yorkersgate,07563 579723,Microbrewery,/brewers/brass-castle/13617/,https://www.facebook.com/brasscastlebrewery
1862,True,Sowerby Bridge,England,Brass Monkey,HX6 3BT,West Yorkshire,"Asquith Bottom Mill, Asquith Bottom",01422 316040,Microbrewery,/brewers/brass-monkey/10053/,http://www.thebrassmonkeybrewery.co.uk/
1863,True,Kokomo,USA,Brass Monkey Brewing Co.,46901,Indiana,115 East Sycamore Street,,Brew Pub/Brewery,/brewers/brass-monkey/9731/,http://www.brassmonkeybrewing.com
1864,True,South Barrington,USA,Brass Restaurant & Brewery,60010,Illinois,105 Hollywood Boulevard,,Brew Pub,/brewers/brass-brewery/5604/,https://www.myspace.com/brassrestaurant
1865,True,Waterbury,USA,Brass Works Brewing,06704,Connecticut,2066 Thomaston Ave,(203) 527-6223,Microbrewery,/brewers/brass-works-brewing/25637/,https://www.facebook.com/Brass-Works-Brewing-Company-1635863136637558
1866,True,Joliette,Canada,Brasserie Artisanale Albion,J6E 4L2,Quebec,408 Boulevard Manseau,(450) 759-7482,Brew Pub,/brewers/brasserie-artisanale-albion/12381/,https://www.facebook.com/brasserieartisanale.albion
1867,True,Payerne,Switzerland,Brasserie Artisanale Broyarde,1530,,Place de la Concorde 21,(26) 660 31 72,Microbrewery,/brewers/brasserie-artisanale-broyarde/9109/,http://www.brassarti.ch/
1868,True,Rulles,Belgium,Brasserie Artisanale de Rulles,6724,,"36, rue Maurice Grévisse",,Microbrewery,/brewers/brasserie-artisanale-de-rulles/1896/,http://www.larulles.be/
1869,True,Jupille-sur-Meuse,Belgium,Brasserie Artisanale des Bruyeres,4020,,17 rue sur les Pleins,043 67 55 48,Commercial Brewery,/brewers/brasserie-artisanale-des-bruyeres/4007/,http://www.bierwereld.com/bruyeres.htm
