"","name","ibu","abv","calories","beer_style_name","beer_style_norm","num_ratings","overall_rating","brewery_name","brewery_type","city","state","zip_code","post_code","loc_id","lat","long"
"413","Das Bierhaus Hefeweizen Dunkel",NA,5.2,156,"Dunkelweizen","Wheat Beer",12,81,"Das Bierhaus","Brew Pub","Menomonie","WI","54751","24,127","20775",44.86877,-91.92915
"414","Desert Eagle Dunkle Weizen",NA,6.6,198,"Dunkelweizen","Wheat Beer",10,80,"Desert Eagle Brewing Company","Microbrewery","Mesa","AZ","85201","24,244","20947",33.432177,-111.84701
"415","Bad Weather Storm Cellar Series #01 - SCHOKO-WEIZEN",NA,7,210,"Dunkelweizen","Wheat Beer",15,85,"Bad Weather Brewing Company","Microbrewery","Saint Paul","MN","55102","33,838","25740",44.935315,-93.12049
"416","Port Brewing Panzer Imperial Pils",NA,9.5,285,"Imperial Pils/Strong Pale Lager","Pils/Lager",332,93,"Port Brewing Company / The Lost Abbey","Microbrewery","San Marcos","CA","92069","34,651","17796",33.144908,-117.17128
"417","Town Hall Midsummer Nights Dunkel",NA,5.5,165,"Dunkelweizen","Wheat Beer",11,87,"Minneapolis Town Hall Brewery","Brew Pub","Minneapolis","MN","55454","24,952","23182",44.969465,-93.24327
"418","Schlafly No. 15 (Number 15)",NA,6,180,"Dunkelweizen","Wheat Beer",198,75,"Saint Louis Brewery","Brew Pub/Brewery","Saint Louis","MO","63103","33,720","4037",38.631451,-90.21415
"419","Rapp Bastard",NA,5.2,156,"Dunkelweizen","Wheat Beer",21,79,"Rapp Brewing Company","Microbrewery","Largo","FL","33777","20,692","1444",27.851052,-82.76111
"420","Peekskill Hop Common",NA,5.2,156,"California Common","Pils/Lager",42,80,"Peekskill Brewery","Brew Pub","Peekskill","NY","10566","29,567","25314",41.288258,-73.91928
"421","Stoudts PA Dutch Dunkle",NA,NA,NA,"Dunkelweizen","Wheat Beer",15,72,"Stoudts Brewing Co.","Microbrewery","Adamstown","PA","19501","116","8055",40.241588,-76.05765
"422","Portsmouth Dunkelweizen",NA,NA,NA,"Dunkelweizen","Wheat Beer",16,80,"Portsmouth Brewery","Brew Pub","Portsmouth","NH","03801","31,070","10800",43.070188,-70.77684
"423","R.J. Rockers Dunkulele",21,6.2,186,"Dunkelweizen","Wheat Beer",10,69,"R.J. Rockers Brewing Co.","Microbrewery","Spartanburg","SC","29306","36,621","11644",34.925353,-81.9308
"424","Spiteful Debbie Downer Dunkelweizen",NA,7,210,"Dunkelweizen","Wheat Beer",15,69,"Spiteful Brewing","Microbrewery","Chicago","IL","60613","6,983","11056",41.953256,-87.6629
"425","Stone / Maine Dayslayer",NA,7.5,225,"Imperial Pils/Strong Pale Lager","Pils/Lager",89,96,"Stone Brewing","Commercial Brewery","Escondido","CA","92029","12,182","17514",33.087868,-117.11558
"426","Rogue Morimoto Imperial Pilsner",74,8.8,264,"Imperial Pils/Strong Pale Lager","Pils/Lager",736,95,"Rogue Ales","Microbrewery","Newport","OR","97365","26,944","13985",44.649252,-124.05039
"427","Silver Creek Imperial Mai-Bock",NA,11,330,"Imperial Pils/Strong Pale Lager","Pils/Lager",26,92,"Silver Creek Brewery","Brew Pub","Cedarburg","WI","53012","6,262","412",43.305412,-87.99794
"428","Lagunitas ScareCity #1: Imperial Pilsner",NA,8.3,249,"Imperial Pils/Strong Pale Lager","Pils/Lager",153,92,"Lagunitas Brewing Company (Heineken)","Microbrewery","Petaluma","CA","94954","29,864","16835",38.243299,-122.6069
"429","Full Sail Capsize Imperial Pilsner",NA,7,210,"Imperial Pils/Strong Pale Lager","Pils/Lager",77,89,"Full Sail Brewing Company","Microbrewery","Hood River","OR","97031","17,446","13536",45.673147,-121.5368
"430","Black Forest Imperial Pilsner",NA,8.3,249,"Imperial Pils/Strong Pale Lager","Pils/Lager",19,93,"Black Forest Brew Haus","Brew Pub","Farmingdale","NY","11735","12,696","25957",40.725968,-73.44151
"431","Upright The Clash Beer",NA,6.77,203,"Imperial Pils/Strong Pale Lager","Pils/Lager",47,92,"Upright Brewing","Microbrewery","Portland","OR","97227","30,957","10960",45.543831,-122.67497
"432","Gordon Biersch Braumeister Selekt  Imperial Pilsner Brau (IPB)",50,6.5,195,"Imperial Pils/Strong Pale Lager","Pils/Lager",50,90,"Gordon Biersch Brewing Company","Brew Pub/Brewery","San Jose","CA","95112","34,524","22819",37.348541,-121.88627
"433","Surly Simpson??s Scottish",NA,5.4,162,"Scottish Ale","Brown/Amber Ale",42,71,"Surly Brewing Company","Microbrewery","Minneapolis","MN","55414","24,923","23182",44.980379,-93.23003
"434","Firestone Walker Rye Double DBA",NA,15,450,"Barley Wine","Other (Cider, Mead, etc.)",28,100,"Firestone Walker Brewing (Duvel-Moortgat)","Commercial Brewery","Paso Robles","CA","93446","29,400","8515",35.640589,-120.70418
"435","Sweetwater Dank Tank Magnum IP",100,9,270,"Imperial Pils/Strong Pale Lager","Pils/Lager",72,92,"Sweetwater Brewing Company","Microbrewery","Atlanta","GA","30324","1,671","28259",33.818304,-84.35779
"436","Evil Twin Kiwi Imperial Pils",NA,7.5,225,"Imperial Pils/Strong Pale Lager","Pils/Lager",101,85,"Evil Twin Brewing","Client Brewer","Brooklyn","NY","11249","4,794","4881",40.670874,-73.89424
"437","Three Floyds Evil Power Pils",56,7.2,216,"Imperial Pils/Strong Pale Lager","Pils/Lager",145,85,"Three Floyds Brewing Company","Microbrewery","Munster","IN","46321","26,021","15101",41.551457,-87.50143
"438","Alpine Beer Company Emerson Lager",NA,6,180,"Imperial Pils/Strong Pale Lager","Pils/Lager",36,84,"Alpine Beer Company (CA)","Microbrewery","Alpine","CA","91901","688","2202",32.823102,-116.73864
"439","Modist First Call",20,6.5,195,"Imperial Pils/Strong Pale Lager","Pils/Lager",10,81,"Modist Brewing Company","Microbrewery","Minneapolis","MN","55401","24,913","23182",44.984615,-93.27137
"440","Rock Bottom Yorktown Lord Tufnels Imperial Pilz",NA,8.6,258,"Imperial Pils/Strong Pale Lager","Pils/Lager",14,90,"Rock Bottom Yorktown","Brew Pub","Lombard","IL","60148","21,878","16298",41.875429,-88.01723
"441","Hair of the Dog Beer Week - Brandy",NA,11,330,"Imperial Pils/Strong Pale Lager","Pils/Lager",10,85,"Hair of the Dog Brewing Company","Brew Pub/Brewery","Portland","OR","97214","30,980","10960",45.51379,-122.6458
"442","Cisco XVII Anniversary",NA,7,210,"Imperial Pils/Strong Pale Lager","Pils/Lager",18,88,"Cisco Brewers & Nantucket Vineyard","Microbrewery","Nantucket","MA","02584","26,142","20551",41.277794,-70.046019
"443","Terrapin All-American Imperial Pilsner",NA,8.9,267,"Imperial Pils/Strong Pale Lager","Pils/Lager",326,85,"Terrapin Beer Company","Microbrewery","Athens","GA","30607","1,613","10240",34.013154,-83.43565
"444","Urban Chestnut SLIPILS",50,7.5,225,"Imperial Pils/Strong Pale Lager","Pils/Lager",20,80,"Urban Chestnut Brewing Company","Brew Pub/Brewery","Saint Louis","MO","63103","33,720","4037",38.631451,-90.21415
"445","Boulevard Noble Prize Imperial Pilsner",32,7.5,225,"Imperial Pils/Strong Pale Lager","Pils/Lager",30,78,"Boulevard Brewing Company (Duvel-Moortgat)","Commercial Brewery","Kansas City","MO","64108","19,278","21489",39.084554,-94.58296
"446","DuClaw Snake Oil",NA,6.5,195,"Imperial Pils/Strong Pale Lager","Pils/Lager",31,87,"DuClaw Brewing Company","Brew Pub/Brewery","Rosedale","MD","21237","33,063","3771",39.33224,-76.50365
"447","Rahr & Sons Pecker Wrecker",NA,7,210,"Imperial Pils/Strong Pale Lager","Pils/Lager",66,81,"Rahr & Sons Brewing","Microbrewery","Fort Worth","TX","76104","13,530","22073",32.730265,-97.32002
"448","Pelican Cold Coast",50,7,210,"Imperial Pils/Strong Pale Lager","Pils/Lager",12,74,"Pelican Pub & Brewery","Brew Pub/Brewery","Pacific City","OR","97135","28,986","29444",45.201302,-123.95999
"449","Clown Shoes Third Party Candidate",NA,7,210,"Imperial Pils/Strong Pale Lager","Pils/Lager",40,73,"Clown Shoes Beer","Client Brewer","Ipswich","MA","01938","18,424","6025",42.682965,-70.84007
"450","Karl Strauss Whistler Imperial Pilsner",65,7.5,225,"Imperial Pils/Strong Pale Lager","Pils/Lager",52,83,"Karl Strauss Brewing Company","Microbrewery","San Diego","CA","92109","34,372","6960",32.791246,-117.24343
"451","Momokawa G Joy Junmai Ginjo Genshu Sake",NA,18,540,"Sak?? - Genshu","Sake",52,88,"SakeOne Corporation","Sake Producer","Forest Grove","OR","97116","13,200","23926",45.541009,-123.13043
"452","moto-i Junmai Nigori Namasake",NA,14.5,435,"Sak?? - Nigori","Sake",14,83,"moto-i","Sake Producer","Minneapolis","MN","55408","24,906","23182",44.947515,-93.28742
"453","Momokawa Organic Nigori Sake",NA,16,480,"Sak?? - Nigori","Sake",15,74,"SakeOne Corporation","Sake Producer","Forest Grove","OR","97116","13,200","23926",45.541009,-123.13043
"454","Smuttynose Big Beer Series: East Coast Common",82,7.4,222,"California Common","Pils/Lager",34,95,"Smuttynose Brewing Company","Microbrewery","Hampton","NH","03842","16,054","22698",42.93569,-70.82514
"455","New Glory 1849 Ale",32,5,150,"California Common","Pils/Lager",11,87,"New Glory Craft Brewery","Microbrewery","Sacramento","CA","95826","33,441","22470",38.550098,-121.37492
"456","Anchor Brotherhood Steam Beer",NA,5.6,168,"California Common","Pils/Lager",167,81,"Anchor Brewing Company","Microbrewery","San Francisco","CA","94107","34,488","9350",37.766529,-122.39577
"457","Anchor Dry-Hopped Steam Beer",NA,5.4,162,"California Common","Pils/Lager",162,79,"Anchor Brewing Company","Microbrewery","San Francisco","CA","94107","34,488","9350",37.766529,-122.39577
"458","Schlafly Pi Common",NA,5,150,"California Common","Pils/Lager",34,77,"Saint Louis Brewery","Brew Pub/Brewery","Saint Louis","MO","63103","33,720","4037",38.631451,-90.21415
"459","Red Hare National Common",NA,5.5,165,"California Common","Pils/Lager",15,71,"Red Hare Brewing Company","Microbrewery","Marietta","GA","30067","23,209","8843",33.933002,-84.47633
"460","Linden Street Urban Peoples Common Lager",NA,4.5,135,"California Common","Pils/Lager",16,70,"Oakland United Beerworks","Microbrewery","Oakland","CA","94601","27,952","9012",37.776835,-122.21792
"461","Sweetwater Tavern Last Chance Lager",NA,NA,NA,"California Common","Pils/Lager",11,69,"Sweetwater Tavern (Great American Restaurants)","Brew Pub","Falls Church","VA","22042","12,626","13294",38.864669,-77.18781
"462","Cinder Block Northtown Native",20,5,150,"California Common","Pils/Lager",16,68,"Cinder Block Brewing","Microbrewery","Kansas City","MO","64116","19,284","21489",39.14912,-94.57314
"463","Anchor Steam Beer",NA,4.9,147,"California Common","Pils/Lager",3781,66,"Anchor Brewing Company","Microbrewery","San Francisco","CA","94107","34,488","9350",37.766529,-122.39577
"464","Fullsteam Lager",30,5.5,165,"California Common","Pils/Lager",36,67,"Fullsteam Brewery","Microbrewery","Durham","NC","27701","10,877","9675",35.997193,-78.89731
"465","New Albanian Mt. Lee California Common",65,6.4,192,"California Common","Pils/Lager",33,77,"New Albanian Brewing Company","Microbrewery","New Albany","IN","47150","26,443","27653",38.30382,-85.82522
"466","Cigar City Enthalpy of Vaporization",NA,5.4,162,"California Common","Pils/Lager",13,63,"Cigar City Brewing","Microbrewery","Tampa","FL","33607","38,089","24636",27.963798,-82.49537
"467","Fat Point Big Boca Ale",38,5.1,153,"California Common","Pils/Lager",10,64,"Fat Point Brewing","Microbrewery","Punta Gorda","FL","33950","31,446","9116",26.914393,-82.04106
"468","Berryessa Common Sense",20,4.8,144,"California Common","Pils/Lager",16,61,"Berryessa Brewing Company","Microbrewery","Winters","CA","95694","42,578","9821",38.537434,-121.97757
"469","Lake Louie Hop-A-Louie Series #  1: Mosquito Beach",30,5.8,174,"California Common","Pils/Lager",28,60,"Lake Louie Brewing","Microbrewery","Arena","WI","53503","1,273","25073",43.150122,-89.92545
"470","Bhramari Carolina Common",17,5.8,174,"California Common","Pils/Lager",11,60,"Bhramari Brewing Co.","Brew Pub","Asheville","NC","28801","1,502","13139",35.595661,-82.55632
"471","Key Chesapeake Common",37,4.8,144,"California Common","Pils/Lager",12,56,"Key Brewing Company","Microbrewery","Dundalk","MD","21222","10,776","14237",39.263162,-76.5082
"472","Mudshark Spring Training Steam",NA,5.2,156,"California Common","Pils/Lager",10,56,"Mudshark Brewing Company","Microbrewery","Lake Havasu City","AZ","86403","20,289","6182",34.483582,-114.33694
"473","Hill Farmstead Society & Solitude #6",NA,8,240,"Imperial IPA","IPA",106,100,"Hill Farmstead Brewery","Microbrewery","Greensboro Bend","VT","05842","15,509","16829",44.574196,-72.24333
"474","Evil Twin Imperial Doughnut Break - Raspberry",NA,11.5,345,"Imperial Porter","Porter",41,99,"Evil Twin Brewing","Client Brewer","Brooklyn","NY","11249","4,794","4881",40.62327,-74.0295
"475","Base Camp Gold Rush India Oat Common",59,7.4,222,"California Common","Pils/Lager",12,69,"Base Camp Brewing Company","Microbrewery","Portland","OR","97214","30,980","10960",45.51379,-122.6458
"476","Titletown Steam Engine Common",NA,5.3,159,"California Common","Pils/Lager",10,72,"Titletown Brewing Company","Brew Pub","Green Bay","WI","54303","15,393","19302",44.530892,-88.04482
"477","Three Floyds Kalifornia Uncommon",NA,5,150,"California Common","Pils/Lager",23,71,"Three Floyds Brewing Company","Microbrewery","Munster","IN","46321","26,021","15101",41.551457,-87.50143
"478","Pizza Boy Uncommonly Common",NA,4.9,147,"California Common","Pils/Lager",10,54,"Pizza Boy Brewing","Brew Pub","Enola","PA","17025","12,079","16146",40.28807,-76.94251
"479","Cismontane Chardonnay Barrel Aged The Citizen",45,6,180,"California Common","Pils/Lager",12,71,"Cismontane Brewing","Brew Pub/Brewery","Rancho Santa Margarita","CA","92688","31,721","18899",33.639994,-117.60351
"480","Toppling Goliath Dorothy??s New World Lager",11,5.5,165,"California Common","Pils/Lager",283,51,"Toppling Goliath","Microbrewery","Decorah","IA","52101","9,749","18793",43.345879,-91.77187
"481","Bauhaus Brew Labs Wagon Party West C??ast Lager",55,5.4,162,"California Common","Pils/Lager",34,52,"Bauhaus Brew Labs","Microbrewery","Minneapolis","MN","55413","24,922","23182",44.997665,-93.24927
"482","Hill Farmstead E.",NA,6.2,186,"Belgian Ale","Saison",238,99,"Hill Farmstead Brewery","Microbrewery","Greensboro Bend","VT","05842","15,509","16829",44.574196,-72.24333
"483","Sante Adairius Cuspid to Cuspid",NA,7.5,225,"Belgian Ale","Saison",13,99,"Sante Adairius Rustic Ales","Microbrewery","Capitola","CA","95010","5,825","13512",36.9761,-121.95316
"484","Crooked Stave Beer Table Table Beer",NA,3.6,108,"Belgian Ale","Saison",62,99,"Crooked Stave","Microbrewery","Denver","CO","80216","10,036","8398",39.784622,-104.96214
"485","Jolly Pumpkin Luciernaga  (The Firefly)",NA,6.5,195,"Belgian Ale","Saison",940,98,"Jolly Pumpkin Artisan Ales","Microbrewery","Dexter","MI","48130","10,276","25362",42.344837,-83.89907
"486","Ommegang Game of Thrones #6 - Seven Kingdoms",NA,6.9,207,"Belgian Ale","Saison",204,97,"Brewery Ommegang  (Duvel-Moortgat)","Microbrewery","Cooperstown","NY","13326","8,451","16805",42.703091,-74.91413
"487","Jolly Pumpkin Fuego del Otono (Autumn Fire)",NA,6.1,183,"Belgian Ale","Saison",654,97,"Jolly Pumpkin Artisan Ales","Microbrewery","Dexter","MI","48130","10,276","25362",42.344837,-83.89907
"488","Allagash Sixteen Counties Ale (2016 - )",NA,7.3,219,"Belgian Ale","Saison",93,97,"Allagash Brewing Company","Microbrewery","Portland","ME","04103","30,945","11808",43.685882,-70.2903
"489","Pizza Port Junkle N Da Trunkle Dunkle",NA,5.2,156,"Dunkel/Tmav??","Brown/Amber Ale",42,83,"Pizza Port (Carlsbad)","Brew Pub","Carlsbad","CA","92008","5,901","2614",33.158137,-117.32646
"490","Stillwater Beer Table Table Beer",NA,4.7,141,"Belgian Ale","Saison",201,97,"Stillwater Artisanal","Client Brewer","Baltimore","MD","21224","2,278","7362",39.284607,-76.55696
"491","Allagash Confluence Ale",NA,7.4,222,"Belgian Ale","Saison",449,97,"Allagash Brewing Company","Microbrewery","Portland","ME","04103","30,945","11808",43.685882,-70.2903
"492","Lost Abbey Saints Devotion",NA,6.8,204,"Belgian Ale","Saison",428,97,"Port Brewing Company / The Lost Abbey","Microbrewery","San Marcos","CA","92069","34,651","17796",33.144908,-117.17128
"493","Midnight Sun 2007 Deadly Sins: Pride",40,6.5,195,"Belgian Ale","Saison",100,96,"Midnight Sun Brewing Company","Microbrewery","Anchorage","AK","99507","973","29536",61.154834,-149.82865
"494","Stillwater Tenacity (/t????nas??d??/)",NA,6,180,"Belgian Ale","Saison",64,96,"Stillwater Artisanal","Client Brewer","Baltimore","MD","21224","2,278","7362",39.284607,-76.55696
"495","Holy Mountain The Third (3rd) Nail",NA,6,180,"Belgian Ale","Saison",15,96,"Holy Mountain Brewing Company","Brew Pub/Brewery","Seattle","WA","98119","35,214","13678",47.57487,-122.39392
"496","Evil Twin Femme Fatale Brett",NA,6,180,"Belgian Ale","Saison",362,96,"Evil Twin Brewing","Client Brewer","Brooklyn","NY","11249","4,794","4881",40.627946,-73.94552
"497","Green Flash Rayon Vert",32,7,210,"Belgian Ale","Saison",820,96,"Green Flash Brewing Company","Microbrewery","San Diego","CA","92121","34,303","6960",32.899996,-117.20722
"498","Perennial Hommel Bier",NA,5.9,177,"Belgian Ale","Saison",189,96,"Perennial Artisan Ales","Microbrewery","Saint Louis","MO","63111","33,751","4037",38.559302,-90.25174
"499","Ommegang Belgian-style Pale Ale (BPA)",NA,6.2,186,"Belgian Ale","Saison",614,95,"Brewery Ommegang  (Duvel-Moortgat)","Microbrewery","Cooperstown","NY","13326","8,451","16805",42.703091,-74.91413
"500","Russian River Redemption (Batch 002+)",NA,5.15,155,"Belgian Ale","Saison",683,95,"Russian River Brewing","Brew Pub/Brewery","Santa Rosa","CA","95404","34,794","22924",38.457611,-122.69317
"501","Ommegang Fleur De Houblon",NA,6.8,204,"Belgian Ale","Saison",411,95,"Brewery Ommegang  (Duvel-Moortgat)","Microbrewery","Cooperstown","NY","13326","8,451","16805",42.703091,-74.91413
"502","Iron Hill Munich Dunkel",NA,5,150,"Dunkel/Tmav??","Brown/Amber Ale",33,87,"Iron Hill Newark","Brew Pub","Newark","DE","19711","26,462","29575",39.700561,-75.7431
"503","Stillwater Babylonian Style Ale (Omnipollo Nebuchadnezzar Remix)",NA,6,180,"Belgian Ale","Saison",93,95,"Stillwater Artisanal","Client Brewer","Baltimore","MD","21224","2,278","7362",39.284607,-76.55696
"504","Allagash House Beer",NA,4.5,135,"Belgian Ale","Saison",93,95,"Allagash Brewing Company","Microbrewery","Portland","ME","04103","30,945","11808",43.685882,-70.2903
"505","New Glarus R & D Golden Ale (2015)",38,6,180,"Belgian Ale","Saison",36,95,"New Glarus Brewing Company","Microbrewery","New Glarus","WI","53574","26,685","20574",42.81636,-89.64075
"506","Three Floyds Dark Lord Russian Imperial Stout - Bourbon Barrel Aged",NA,15,450,"Imperial Stout","Stout",413,100,"Three Floyds Brewing Company","Microbrewery","Munster","IN","46321","26,021","15101",41.551457,-87.50143
"507","Allagash Hoppy Table Beer",NA,4.9,147,"Belgian Ale","Saison",82,95,"Allagash Brewing Company","Microbrewery","Portland","ME","04103","30,945","11808",43.685882,-70.2903
"508","pFriem Brett Brux Pale Ale",NA,6.9,207,"Belgian Ale","Saison",14,95,"pFriem Family Brewers","Microbrewery","Hood River","OR","97031","17,446","13536",45.673147,-121.5368
"509","Sierra Nevada Ovila Brown - Mandarin Orange & Cocoa",NA,7,210,"Belgian Ale","Saison",53,95,"Sierra Nevada Brewing Company","Commercial Brewery","Chico","CA","95928","7,067","17127",39.720955,-121.81888
"510","Cigar City Jean Ribault French Pale Ale",NA,6,180,"Belgian Ale","Saison",26,95,"Cigar City Brewing","Microbrewery","Tampa","FL","33607","38,089","24636",27.963798,-82.49537
"511","Leelanau Petoskey Pale Ale",NA,5.5,165,"Belgian Ale","Saison",151,95,"Leelanau Brewing Company","Client Brewer","Lake Leelanau","MI","49653","20,324","5233",44.975051,-85.72325
"512","Wicked Weed Barrel Aged Lunatic",NA,7,210,"Belgian Ale","Saison",17,94,"Wicked Weed Brewing (AB-InBev)","Brew Pub","Asheville","NC","28801","1,502","13139",35.595661,-82.55632
"513","Toppling Goliath Mornin?? Delight",50,12,360,"Imperial Stout","Stout",193,100,"Toppling Goliath","Microbrewery","Decorah","IA","52101","9,749","18793",43.345879,-91.77187
"514","Toppling Goliath Kentucky Brunch",NA,12,360,"Imperial Stout","Stout",122,100,"Toppling Goliath","Microbrewery","Decorah","IA","52101","9,749","18793",43.345879,-91.77187
"515","Cigar City Hunahpu??s Imperial Stout - Double Barrel Aged",NA,11,330,"Imperial Stout","Stout",296,100,"Cigar City Brewing","Microbrewery","Tampa","FL","33607","38,089","24636",27.963798,-82.49537
"516","AleSmith Speedway Stout - Bourbon Barrel Aged",NA,12,360,"Imperial Stout","Stout",857,100,"AleSmith Brewing Company","Microbrewery","San Diego","CA","92126","34,375","6960",32.914346,-117.14116
"517","Three Floyds Dark Lord Russian Imperial Stout - Bourbon Vanilla Bean",NA,14,420,"Imperial Stout","Stout",427,100,"Three Floyds Brewing Company","Microbrewery","Munster","IN","46321","26,021","15101",41.551457,-87.50143
"518","Cigar City Final Push Imperial Stout",NA,11,330,"Imperial Stout","Stout",152,100,"Cigar City Brewing","Microbrewery","Tampa","FL","33607","38,089","24636",27.963798,-82.49537
"519","AleSmith Speedway Stout",70,12,360,"Imperial Stout","Stout",2939,100,"AleSmith Brewing Company","Microbrewery","San Diego","CA","92126","34,375","6960",32.914346,-117.14116
"520","AleSmith Speedway Stout - Bourbon Barrel Aged: Vietnamese Coffee",NA,12,360,"Imperial Stout","Stout",160,100,"AleSmith Brewing Company","Microbrewery","San Diego","CA","92126","34,375","6960",32.914346,-117.14116
"521","Cycle / 3 Sons Rare Scooop",NA,NA,NA,"Imperial Stout","Stout",24,100,"Cycle Brewing","Microbrewery","Saint Petersburg","FL","33701","33,903","14425",27.770955,-82.63931
"522","Cigar City Hunahpu??s Imperial Stout",NA,11,330,"Imperial Stout","Stout",989,100,"Cigar City Brewing","Microbrewery","Tampa","FL","33607","38,089","24636",27.963798,-82.49537
"523","Three Floyds Dark Lord Russian Imperial Stout",NA,15,450,"Imperial Stout","Stout",1842,100,"Three Floyds Brewing Company","Microbrewery","Munster","IN","46321","26,021","15101",41.551457,-87.50143
"524","Founders KBS (Kentucky Breakfast Stout)",70,11.2,336,"Imperial Stout","Stout",2624,100,"Founders Brewing Company","Microbrewery","Grand Rapids","MI","49503","15,169","13540",42.964176,-85.65885
"525","Cycle Trademark Dispute (Yellow)",NA,NA,NA,"Imperial Stout","Stout",107,100,"Cycle Brewing","Microbrewery","Saint Petersburg","FL","33701","33,903","14425",27.770955,-82.63931
"526","Goose Island Bourbon County Stout",60,13.9,417,"Imperial Stout","Stout",2868,100,"Goose Island Beer Company (AB-InBev)","Commercial Brewery","Chicago","IL","60612","6,982","11056",41.880682,-87.6877
"527","Perennial Abraxas - Barrel Aged",NA,11,330,"Imperial Stout","Stout",211,100,"Perennial Artisan Ales","Microbrewery","Saint Louis","MO","63111","33,751","4037",38.559302,-90.25174
"528","Goose Island Bourbon County Stout - Coffee",60,13.4,402,"Imperial Stout","Stout",957,100,"Goose Island Beer Company (AB-InBev)","Commercial Brewery","Chicago","IL","60612","6,982","11056",41.880682,-87.6877
"529","Exile GiGi",NA,5,150,"Dunkel/Tmav??","Brown/Amber Ale",38,80,"Exile Brewing Company","Brew Pub","Des Moines","IA","50309","10,116","17490",41.585939,-93.62004
"530","Toppling Goliath Assassin",NA,12.8,384,"Imperial Stout","Stout",203,100,"Toppling Goliath","Microbrewery","Decorah","IA","52101","9,749","18793",43.345879,-91.77187
"531","Firestone Walker Parabola",82,14,420,"Imperial Stout","Stout",1109,100,"Firestone Walker Brewing (Duvel-Moortgat)","Commercial Brewery","Paso Robles","CA","93446","29,400","8515",35.640589,-120.70418
"532","Side Project Derivation Blend #2",NA,15,450,"Imperial Stout","Stout",22,100,"Side Project Brewing","Microbrewery","Saint Louis","MO","63143","33,745","4037",38.612452,-90.31822
"533","Evil Twin Double Barrel Jesus",NA,12,360,"Imperial Stout","Stout",164,100,"Evil Twin Brewing","Client Brewer","Brooklyn","NY","11249","4,794","4881",40.662191,-73.91328
"534","AleSmith Speedway Stout - Vietnamese Coffee",NA,12,360,"Imperial Stout","Stout",507,100,"AleSmith Brewing Company","Microbrewery","San Diego","CA","92126","34,375","6960",32.914346,-117.14116
"535","Cycle Four Roses BA Rye Stout",NA,11,330,"Imperial Stout","Stout",22,100,"Cycle Brewing","Microbrewery","Saint Petersburg","FL","33701","33,903","14425",27.770955,-82.63931
"536","Stone Imperial Russian Stout - Bourbon Barrel",NA,10.8,324,"Imperial Stout","Stout",442,100,"Stone Brewing","Commercial Brewery","Escondido","CA","92029","12,182","17514",33.087868,-117.11558
"537","Deschutes The Abyss",68,11,330,"Imperial Stout","Stout",1672,100,"Deschutes Brewery","Microbrewery","Bend","OR","97702","3,030","4847",44.020483,-121.30891
"538","Surly Darkness",85,9.6,288,"Imperial Stout","Stout",1066,100,"Surly Brewing Company","Microbrewery","Minneapolis","MN","55414","24,923","23182",44.980379,-93.23003
"539","AleSmith Speedway Stout - Velvet",NA,12,360,"Imperial Stout","Stout",30,100,"AleSmith Brewing Company","Microbrewery","San Diego","CA","92126","34,375","6960",32.914346,-117.14116
"540","Prairie / Evil Twin Bible Belt - Barrel Aged",NA,13,390,"Imperial Stout","Stout",181,100,"Prairie Artisan Ales","Microbrewery","Tulsa","OK","74107","39,178","7924",36.102042,-96.03144
"541","Cycle Trademark Dispute (Green)",NA,NA,NA,"Imperial Stout","Stout",70,100,"Cycle Brewing","Microbrewery","Saint Petersburg","FL","33701","33,903","14425",27.770955,-82.63931
"542","Cigar City Hunahpu??s Imperial Stout - Rum Barrel Aged",NA,11,330,"Imperial Stout","Stout",74,100,"Cigar City Brewing","Microbrewery","Tampa","FL","33607","38,089","24636",27.963798,-82.49537
"543","Hill Farmstead Damon",NA,10.5,315,"Imperial Stout","Stout",187,100,"Hill Farmstead Brewery","Microbrewery","Greensboro Bend","VT","05842","15,509","16829",44.574196,-72.24333
"544","Bissell Brothers Swish",NA,8,240,"Imperial IPA","IPA",84,100,"Bissell Brothers Brewing Company","Microbrewery","Portland","ME","04101","30,951","11808",43.660525,-70.25862
"545","Warped Wing Barrel Aged Pirogue",NA,9,270,"Abbey Tripel","Strong Ale",15,96,"Warped Wing Brewing","Microbrewery","Dayton","OH","45402","9,611","4356",39.757758,-84.18848
"546","Stone Imperial Russian Stout",NA,10.5,315,"Imperial Stout","Stout",3225,100,"Stone Brewing","Commercial Brewery","Escondido","CA","92029","12,182","17514",33.087868,-117.11558
"547","Westbrook Mexican Cake Imperial Stout - Pappy Barrel",NA,10.8,324,"Imperial Stout","Stout",22,100,"Westbrook Brewing","Microbrewery","Mount Pleasant","SC","29464","25,875","6745",32.813518,-79.85899
"548","Side Project Derivation Blend #1",NA,15,450,"Imperial Stout","Stout",28,100,"Side Project Brewing","Microbrewery","Saint Louis","MO","63143","33,745","4037",38.612452,-90.31822
"549","AleSmith Speedway Stout - Brewer??s Blend: Vietnamese Coffee",NA,12,360,"Imperial Stout","Stout",45,100,"AleSmith Brewing Company","Microbrewery","San Diego","CA","92126","34,375","6960",32.914346,-117.14116
"550","AleSmith Speedway Stout - Hawaiian",NA,12,360,"Imperial Stout","Stout",306,100,"AleSmith Brewing Company","Microbrewery","San Diego","CA","92126","34,375","6960",32.914346,-117.14116
